CustomerID,Country,State,City,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason
0002-ORFBO,United States,California,Frazier Park,34.827662,-118.999073,female,No,Yes,No,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,no,0,65,2205.0,unknown
0003-MKNFE,United States,California,Glendale,34.162515,-118.203869,male,No,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,no,0,66,5414.0,unknown
0004-TLHLJ,United States,California,Costa Mesa,33.645672,-117.922613,male,No,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,yes,1,71,4479.0,price too high
0011-IGKFF,United States,California,Martinez,38.014457,-122.115432,male,Yes,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,yes,1,99,3714.0,product dissatisfaction
0013-EXCHZ,United States,California,Camarillo,34.227846,-119.079903,female,Yes,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,yes,1,68,3464.0,network reliability
0013-MHZWF,United States,California,Midpines,37.581496,-119.972762,female,No,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,no,0,55,5108.0,unknown
0013-SMEOE,United States,California,Lompoc,34.757477,-120.550507,female,Yes,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,no,0,26,5011.0,unknown
0014-BMAQU,United States,California,Napa,38.489789,-122.27011,male,No,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,no,0,49,4604.0,unknown
0015-UOCOJ,United States,California,Simi Valley,34.296813,-118.685703,female,Yes,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,no,0,34,5525.0,unknown
0016-QLJIS,United States,California,Sheridan,38.984756,-121.345074,female,No,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,no,0,25,5509.0,unknown
0017-DINOC,United States,California,Rancho Santa Fe,32.99356,-117.207121,male,No,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,no,0,54,5435.0,unknown
0017-IUDMW,United States,California,Sunnyvale,37.378541,-122.020456,female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,no,0,52,6252.0,unknown
0018-NYROU,United States,California,Antelope,38.715498,-121.363411,female,No,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,351.5,no,0,57,5536.0,unknown
0019-EFAEP,United States,California,La Mesa,32.782501,-117.01611,female,No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,no,0,53,5513.0,unknown
0019-GFNTW,United States,California,Los Olivos,34.70434,-120.02609,female,No,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,no,0,37,5795.0,unknown
0020-INWCK,United States,California,Woodlake,36.464635,-119.094348,female,No,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,no,0,26,4865.0,unknown
0020-JDNXP,United States,California,Point Reyes Station,38.060264,-122.830646,female,No,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,no,0,37,3607.0,unknown
0021-IKXGC,United States,California,San Marcos,33.119028,-117.166036,female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,no,0,50,4432.0,unknown
0022-TCJCI,United States,California,Daly City,37.680844,-122.48131,male,Yes,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,yes,1,92,2654.0,limited range of services
0023-HGHWL,United States,California,Morgan Hill,37.161544,-121.649371,male,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1,yes,1,85,5437.0,competitor made better offer
0023-UYUPN,United States,California,Ahwahnee,37.375816,-119.739935,female,Yes,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,no,0,61,4015.0,unknown
0023-XUOPT,United States,California,Carnelian Bay,39.227434,-120.091806,female,No,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,yes,1,75,2973.0,don't know
